epoch,phase,lr,train_loss,train_acc,synth_monitor_acc,synth_val_acc,real_val_loss,real_val_acc,epoch_time_s,game7_acc_wP,game7_acc_wR,game7_acc_wN,game7_acc_wB,game7_acc_wQ,game7_acc_wK,game7_acc_bP,game7_acc_bR,game7_acc_bN,game7_acc_bB,game7_acc_bQ,game7_acc_bK,game7_acc_empty
1,A,0.0001,0.9142435672390202,0.8374613003095975,0.9990298202614379,,1.0751899572935972,0.8,304.47258626436815,0.8974358974358975,0.5591397849462365,0.0,0.44545454545454544,0.0,0.32727272727272727,0.7603092783505154,0.7,0.036585365853658534,0.41414141414141414,0.09090909090909091,0.07272727272727272,0.987667009249743
2,A,0.0001,0.4689898949704672,0.8950754643962848,0.9965788398692811,,0.7131396309895949,0.8292613636363636,128.7425420950167,0.9307692307692308,0.6559139784946236,0.14634146341463414,0.38181818181818183,0.0,0.7272727272727273,0.7963917525773195,0.7272727272727273,0.0975609756097561,0.5454545454545454,0.0,0.3090909090909091,0.9933196300102775
3,B,9.931634888554937e-06,0.09878037882184512,0.9736842105263158,0.9847324346405228,,0.14591545963829214,0.9579545454545455,144.6256116568111,0.9897435897435898,0.989247311827957,0.975609756097561,0.7909090909090909,0.6,0.9818181818181818,0.9819587628865979,0.9545454545454546,0.9390243902439024,0.7575757575757576,0.14545454545454545,0.9454545454545454,0.9979445015416238
4,B,9.728616793536588e-06,0.038352353391655644,0.9907120743034056,0.9812602124183006,,0.18558145653117786,0.9565340909090909,144.7533397031948,0.9897435897435898,1.0,1.0,0.5818181818181818,0.5818181818181818,0.9818181818181818,0.9819587628865979,0.9454545454545454,0.9878048780487805,0.7676767676767676,0.38181818181818183,0.9090909090909091,0.9984583761562179
5,B,9.397114317029975e-06,0.026275708554467567,0.9934694272445821,0.9765625,,0.11497828174721111,0.9644886363636364,145.21464512078092,0.9923076923076923,0.989247311827957,0.975609756097561,0.7454545454545455,0.509090909090909,0.9636363636363636,0.9845360824742269,0.9545454545454546,0.975609756097561,0.8585858585858586,0.509090909090909,0.9272727272727272,0.9979445015416238
6,B,8.9471999940354e-06,0.020113715523576017,0.9949690402476781,0.9714052287581699,,0.14776045219464737,0.9579545454545455,144.91731587983668,0.9923076923076923,0.978494623655914,1.0,0.8,0.4727272727272727,0.9818181818181818,0.9845360824742269,0.9,0.9634146341463414,0.797979797979798,0.2,0.9454545454545454,0.9979445015416238
7,B,8.392544243589425e-06,0.016419770850150502,0.9959849071207431,0.9785028594771242,,0.0954649528996511,0.9795454545454545,144.28778250003234,0.9897435897435898,0.989247311827957,1.0,0.9363636363636364,0.9090909090909091,0.9818181818181818,0.9845360824742269,0.9272727272727272,0.975609756097561,0.8484848484848485,0.7090909090909091,0.9454545454545454,0.9979445015416238
8,B,7.749999999999999e-06,0.01306250368225078,0.9970491486068112,0.9661458333333334,,0.12166054965928197,0.9715909090909091,144.92258692299947,0.9923076923076923,1.0,1.0,0.8090909090909091,0.5818181818181818,0.9818181818181818,0.9845360824742269,0.9363636363636364,0.9512195121951219,0.7878787878787878,0.8909090909090909,0.9454545454545454,0.9974306269270298
9,B,7.039090644965509e-06,0.01330202381897789,0.9965654024767802,0.969873366013072,,0.15014448994135654,0.9701704545454546,144.34591753361747,0.9948717948717949,1.0,1.0,0.6727272727272727,0.7090909090909091,0.9818181818181818,0.9845360824742269,0.9454545454545454,0.9878048780487805,0.797979797979798,0.9090909090909091,0.8909090909090909,0.9969167523124358
10,B,6.281416799501186e-06,0.007854444650398284,0.9982585139318886,0.9726817810457516,,0.11178251468068497,0.9758522727272727,144.39019795367494,0.9948717948717949,0.989247311827957,1.0,0.8272727272727273,0.8,0.9818181818181818,0.9845360824742269,0.9272727272727272,0.9878048780487805,0.8383838383838383,0.8181818181818182,0.9454545454545454,0.9964028776978417
11,B,5.499999999999998e-06,0.005623220743599921,0.9986938854489165,0.9732434640522876,,0.14243673155592246,0.9684659090909091,144.91231148969382,0.9897435897435898,1.0,1.0,0.8454545454545455,0.6727272727272727,0.9818181818181818,0.9819587628865979,0.9363636363636364,0.9634146341463414,0.7878787878787878,0.509090909090909,0.9636363636363636,0.9979445015416238
12,B,4.718583200498812e-06,0.007103780314511947,0.9982101393188855,0.9555249183006536,,0.12039621514903212,0.9767045454545454,144.84251572284847,0.9897435897435898,1.0,1.0,0.9,0.6727272727272727,0.9818181818181818,0.9871134020618557,0.9363636363636364,0.975609756097561,0.8181818181818182,0.8727272727272727,0.9272727272727272,0.9974306269270298
13,B,3.960909355034491e-06,0.005718754691815353,0.9986455108359134,0.9656862745098039,,0.13177444308318875,0.9724431818181818,145.07696238113567,0.9923076923076923,1.0,1.0,0.8181818181818182,0.5818181818181818,0.9818181818181818,0.9845360824742269,0.9454545454545454,0.9634146341463414,0.8787878787878788,0.7636363636363637,0.9090909090909091,0.9974306269270298
